English	French
clearly you are not interested	il est clair que vous n êtes pas intéressés
your pencils need sharpening	vos crayons doivent être aiguisés
do not be so sensitive to criticism	ne soyez pas si sensible à la critique
we have been through tougher times than this before	on a connu des temps bien plus durs
i enjoyed it very much	j y ai pris beaucoup plaisir
you should assume that anything you do online is public	on doit supposer que tout ce qu on fait en ligne est public
he did all the legwork	il a fait tout le travail d enquête
stop hitting the cat	cesse de frapper le chat
is there something in particular that you want to know	y a t il quelque chose en particulier que tu veuilles savoir
a man who wanted to see you came while you were out	un homme qui cherchait à vous rencontrer est venu pendant que vous étiez sorti
you were fantastic	vous avez été fantastique
it is really windy today	il y a vraiment du vent aujourd hui
do you have any food allergies	avez vous une quelconque allergie alimentaire
that s what i told him	ce est ce que je lui ai dit
how did that whole thing happen	comment tout ce truc est il arrivé
i cannot accept this theory	je ne peux pas accepter cette théorie
have you had dinner already	as tu déjà dîné
she took the book back to the library	elle rapporta le livre à la bibliothèque
i will give you a call in the morning	je vous téléphonerai dans la matinée
you are not permitted to bring dogs into this building	vous n êtes pas autorisée à amener des chiens dans ce bâtiment
i like the terminator films because the special effects are fantastic	j aime les films de terminator parce que les effets spéciaux sont fantastiques
which team won the game	quelle équipe l a emporté
i am sorry about last night	je suis désolé au sujet de la nuit dernière
i want to do something special	je veux faire quelque chose de spécial
i just got your message	je viens de recevoir ton message
i really miss you all	vous me manquez vraiment toutes
we should get along just fine	nous devrions parfaitement nous entendre
beats me	j en sais foutre rien
we must not be late	ne sois pas en retard
tom looked for his glasses	tom chercha ses lunettes
is it safe	est ce sûr
this is how i learned english	et ainsi ai je appris l anglais
it is not always possible to eat well when you are traveling in this part of the world	il ne est pas toujours possible de bien manger lorsqu on voyage dans cette partie du monde
they hated tom	ils haïssaient tom
i am safe	je suis en sécurité
my dream went up in smoke	mon rêve est parti en fumée
you could at least try to be a bit more polite even though it is not like you	tu pourrais au moins essayer d être un peu plus poli même si ce ne est pas dans ta nature
osaka is japan s second largest city	osaka est la deuxième plus grande ville du japon
can you save enough money for the down payment	peux tu épargner assez d argent pour la mise de base
his height is a great advantage when he plays volleyball	sa hauteur est un grand avantage quand il joue au volley ball
they do not make em like they used to	ils ne les font plus ainsi qu ils les faisaient
are you here voluntarily	es tu ici de ton plein gré
two sheep were killed by a wolf	deux moutons ont été tués par un loup
let us remember to do that	rappelons de faire ça
i am buying	ce est moi qui paie
do not try to trick us	n essayez pas de nous arnaquer
will that change	est ce que cela va changer
something weird s going on here	il y a quelque chose qui cloche je crois
i am going to change my shirt	je vais changer de chemise
in this town there is only one train station	dans cette ville il n y a qu une gare
why do you not believe in god	pourquoi ne crois tu pas en dieu
i want to be more than friends	je veux être davantage qu un ami
she panicked when she heard the news	elle a paniqué quand elle a entendu les informations
cats can climb trees but dogs cannot	les chats peuvent monter aux arbres mais pas les chiens
we are not stupid	nous ne sommes pas idiots
thank you very much for all you have done	merci beaucoup pour tout ce que vous avez fait
tom cannot have gone very far	tom n a pas pu aller bien loin
i have to be there by	je dois être là avant heures
he is hungry and thirsty	il a faim et soif
i go to the movies once in a while	je vais au cinéma de temps en temps
why are you standing there	pourquoi te tiens tu là
water covers about of the earth	l eau recouvre environ de la surface de la terre
he pushed me gently	il m a poussé avec douceur
i cannot believe that you are not at least willing to consider the possibility of other alternatives	je n arrive pas à croire que tu ne sois pas au moins disposée à envisager d autres possibilités
tom probably should ve studied harder	tom aurait probablement dû étudier plus sérieusement
do you mind if i change the channel	voyez vous un inconvénient à ce que je change de chaîne
can you tell me about it	pouvez vous m en parler
who would look after my children if i died	qui s occupera de mes enfants si je meurs
i have to be home tonight before it gets dark	je dois être à la maison ce soir avant qu il ne fasse noir
you should kick that bad habit	vous devriez chasser cette mauvaise habitude
are you intentionally trying to confuse me	fais tu exprès d essayer de m embrouiller les idées
i d agree	je serais de accord
be merciful	sois clémente
do you have any idea how important your test grades are	avez vous la moindre idée combien vos notes d examen sont importantes
did you hear that	avez vous entendu cela
i rented out the guest bedroom	je ai loué la chambre d invités
that s what i am thinking	ce est ce à quoi je suis en train de penser
anything you say may be used against you	tout ce que vous dites peut être retenu contre toi
the rent is paid for six months	le loyer est payé pour six mois
he knows his job	il connaît son métier
we must hurry if we want to arrive at the station on time	nous devons nous dépêcher si nous voulons arriver à la station à temps
i have been away too long already	je suis parti depuis trop longtemps déjà
i did not understand much of what they were talking about	je n ai pas compris grand chose à ce qu elles étaient en train de discuter
you get out only what you put in	tu n en ressors que ce que tu y mets
i studied all week for that quiz	je ai étudié toute la semaine pour ce questionnaire
the boy told me why he was crying	l enfant me dit pourquoi il pleurait
not all people like dogs	tous les gens n apprécient pas les chiens
they sat in a circle	elles se sont assises en cercle
make it smaller	rends le plus petit
when it rains she feels blue	elle a le cafard quand il se met à pleuvoir
i just wanted to clarify that	je voulais simplement m en assurer
leave this to me	laissez le moi
it is probably just a phase	ce ne est probablement qu une divagation
tom does not have enough time for a cup of coffee	tom n a pas le temps de prendre un café
i forgot to ask your name	je ai oublié de te demander ton nom
